epoch,train_loss,val_loss,val_next_token_acc,test_final_word_acc
1,4.16684353351593,3.763851202451266,,
2,3.2710152694157193,3.067441536830022,,
3,2.8801824876240323,2.778158710553096,,
4,2.6019863401140486,2.592104829274691,,
5,2.4773131949560985,2.514871679819547,,
6,2.420234816414969,2.4800941944122314,,
7,2.396530798503331,2.4643053091489353,,
8,2.376822437558855,2.439311375984779,,
9,2.360926832471575,2.420284573848431,,
10,2.339929393359593,2.411416457249568,0.2816575983017136,0.0
11,2.328365308897836,2.402393313554617,,
12,2.3110628638948714,2.4062299453295193,,
13,2.309092402458191,2.387593856224647,,
14,2.300159386226109,2.3826968669891357,,
15,2.289207339286804,2.376122465500465,,
16,2.2823894364493236,2.3774619836073656,,
17,2.280504618372236,2.393228741792532,,
18,2.2786517313548496,2.380545872908372,,
19,2.2697702816554477,2.401967763900757,,
20,2.2633384125573293,2.4063347486349254,0.28359219610618114,0.0
21,2.2411274569375172,2.3601732620826135,,
22,2.2116604702813283,2.3451520754740787,,
23,2.1792926277433122,2.3429057139616747,,
24,2.1613618305751254,2.3112810941842885,,
25,2.1200166600091115,2.266825089087853,,
26,2.074510761669704,2.2178370035611668,,
27,2.0377818175724576,2.1942786345115075,,
28,1.9999173368726457,2.1554450071774998,,
29,1.9666930437088013,2.1242791505960317,,
30,1.9316997528076172,2.099085358472971,0.3897398781747246,0.0
31,1.9002836346626282,2.0780114118869486,,
32,1.8657006110463823,2.0379904233492336,,
33,1.8348156128610884,2.0152485966682434,,
34,1.8044755714280265,1.9842629982874944,,
35,1.7780758738517761,1.9423148173552294,,
36,1.7512695363589696,1.9271474343079786,,
37,1.7185801693371363,1.8961959572938771,,
38,1.6952943205833435,1.871463881089137,,
39,1.6731499348367964,1.8509189119705787,,
40,1.6518977284431458,1.8384521099237294,0.4717047888616891,0.0
41,1.6353338531085424,1.8189222400005047,,
42,1.6181618060384477,1.8102495670318604,,
43,1.5911576066698347,1.7840500015478868,,
44,1.5657702939850944,1.7753573793631334,,
45,1.559045365878514,1.7414167202436006,,
46,1.5340238468987601,1.7270521338169391,,
47,1.5086564336504256,1.7106616909687336,,
48,1.5066164476530892,1.7070244596554682,,
49,1.4921938521521432,1.6765570503014784,,
50,1.4700372559683663,1.6799836388001075,0.5195282617426561,0.0
51,1.459981186049325,1.6700485853048472,,
52,1.4533902747290475,1.6560874260388887,,
53,1.430065052849906,1.6408089857835035,,
54,1.4155632512910026,1.6292287615629344,,
55,1.4129411493028914,1.6219950455885668,,
56,1.3913951431001936,1.6252581523014948,,
57,1.3859754885946,1.590978319828327,,
58,1.3822950295039587,1.6070541510215173,,
59,1.3713795457567488,1.5861929379976714,,
60,1.3632426602499825,1.5774756578298716,0.5501172592181762,0.0
61,1.3516368440219335,1.5794181273533747,,
62,1.3428612521716528,1.565365392428178,,
63,1.3432298728397913,1.5523092242387624,,
64,1.3313525063650948,1.5454891690841088,,
65,1.316196186201913,1.538682488294748,,
66,1.3139704465866089,1.5332789100133455,,
67,1.304088532924652,1.5296295101826007,,
68,1.2965688620294844,1.5302479358819814,,
69,1.2941972357886178,1.5194434844530547,,
70,1.2821080344063895,1.5081151998960054,0.5709472058598531,0.0
71,1.2831352012498038,1.5066561790613027,,
72,1.2760947261537825,1.4956774161412165,,
73,1.2696950265339442,1.499123101051037,,
74,1.2682976807866777,1.490739982861739,,
75,1.2647687537329537,1.4928391117316027,,
76,1.2562544345855713,1.4784191113251905,,
77,1.2498208284378052,1.4794137936372023,,
78,1.2429611768041338,1.4845998562299287,,
79,1.2388692498207092,1.4787039481676543,,
80,1.2370742133685522,1.4652661681175232,0.5859942768895349,0.0
81,1.2354199545724052,1.4632893342238207,,
82,1.227222740650177,1.4524113673430223,,
83,1.22556437764849,1.443388241987962,,
84,1.2207358564649309,1.4453377861243029,,
85,1.2167368531227112,1.4464128888570345,,
86,1.2123885239873613,1.4450186720261207,,
87,1.207204852785383,1.45176205268273,,
88,1.2051517793110438,1.4455652236938477,,
89,1.1974672675132751,1.4357484028889582,,
90,1.2037254231316703,1.434697192448836,0.5954317912331701,0.0
91,1.1953449760164534,1.436063784819383,,
92,1.196808431829725,1.4229488831300001,,
93,1.1922627687454224,1.4266334634560804,,
94,1.1934187838009425,1.4273163401163542,,
95,1.1816681453159876,1.4259797930717468,,
96,1.1770072749682836,1.4169311202489412,,
97,1.1802655288151331,1.4203723623202398,,
98,1.178832769393921,1.4093255996704102,,
99,1.1753183007240295,1.4147258263367872,,
100,1.1761344586099898,1.4140470348871672,0.6020382305691554,0.0
101,1.1681393214634486,1.4102604068242586,,
102,1.1609814167022705,1.4167485374670763,,
103,1.1617800082479204,1.4105691359593318,,
104,1.1631457379886083,1.3975907334914575,,
105,1.158143835408347,1.4029253996335542,,
106,1.1560940061296736,1.4012080614383404,,
107,1.1541416985648019,1.3883091853215144,,
108,1.1486664244106837,1.394561808842879,,
109,1.1481498564992632,1.4017903896478505,,
110,1.147537078176226,1.3816835651030908,0.6100216588892289,0.0
111,1.1424047606331962,1.3873943503086383,,
112,1.1509480050631933,1.3811912949268634,,
113,1.1381415724754333,1.3807461399298449,,
114,1.142558217048645,1.3815049116428082,,
115,1.1301006589617049,1.3852151311360872,,
116,1.1375201855387007,1.368145342056568,,
117,1.136671040739332,1.3801184067359338,,
118,1.134348349911826,1.3716253775816698,,
119,1.1312179735728674,1.3818389773368835,,
120,1.1286462119647436,1.3657789963942308,0.6157160820838433,0.0
121,1.1238005587032862,1.3719552892905016,,
122,1.1252039415495736,1.369867035975823,,
123,1.1255096793174744,1.374687318618481,,
124,1.1256576521056039,1.3662159809699426,,
125,1.120974259717124,1.3691369524368873,,
126,1.1166181308882577,1.3699813255896935,,
127,1.1067784598895483,1.3672849581791804,,
128,1.1186825122152055,1.3692931257761443,,
129,1.1195109401430403,1.3623333435792189,,
130,1.1135952046939306,1.363189004934751,0.6196659606410648,0.00019406171162429653
131,1.1133868524006434,1.3616290917763343,,
132,1.1120291692870004,1.3583269394361055,,
133,1.1059192078454154,1.3561507967802195,,
134,1.1076607193265642,1.3535464864510756,,
135,1.1098489505904061,1.3549205110623286,,
136,1.1056966270719255,1.3438199896078844,,
137,1.1040381278310503,1.3526858916649451,,
138,1.1084508555276054,1.3566578259834876,,
139,1.0972492694854736,1.3526673408655019,,
140,1.1016518899372645,1.3474439015755286,0.6243240561888005,0.00019406171162429653
141,1.10182181426457,1.3420655498137841,,
142,1.1022903408323015,1.3513949100787823,,
143,1.1012528027806963,1.3500320315361023,,
144,1.0937897392681666,1.3461093123142536,,
145,1.09489107131958,1.3410716882118812,,
146,1.0914955735206604,1.347754519719344,,
147,1.0935209478650774,1.3380458767597492,,
148,1.0960873535701208,1.3351458311080933,,
149,1.0893043109348841,1.339881649384132,,
150,1.0912279656955175,1.3361442868526165,0.6277354507726438,0.0007762468464971861
151,1.0932790381567818,1.342999449143043,,
152,1.089871610913958,1.3385359919988191,,
153,1.085238584450313,1.327541750210982,,
154,1.0782667568751745,1.33608884536303,,
155,1.0798727103642054,1.3316909900078406,,
156,1.0843976736068726,1.3347467184066772,,
157,1.081724192414965,1.3225986132254968,,
158,1.0793138912745885,1.3316592711668749,,
159,1.0789177843502589,1.3218557101029615,,
160,1.0816965017999922,1.3283798740460322,0.6318921167380661,0.0009703085581214826
161,1.0715031027793884,1.3210243674424977,,
162,1.0701478549412318,1.3301233328305757,,
163,1.0741259285381861,1.3248994579681983,,
164,1.0733142324856348,1.322432591364934,,
165,1.0693409102303642,1.3248352500108571,,
166,1.0743642364229475,1.318366105739887,,
167,1.0662801606314523,1.3139564165702233,,
168,1.064366272517613,1.3318800972058222,,
169,1.0664777755737305,1.3161782576487615,,
170,1.0643014226640974,1.323586839895982,0.634421377753978,0.002134678827867262
171,1.0596397008214677,1.313477140206557,,
172,1.065664027418409,1.326627859702477,,
173,1.0641091295651026,1.3154203387407155,,
174,1.0554296714918954,1.3178810018759508,,
175,1.0591585976736886,1.315692479793842,,
176,1.0539065173694067,1.3080404859322767,,
177,1.0554140976497106,1.2994348039993873,,
178,1.0506359083311898,1.3089638260694652,,
179,1.050886401108333,1.2936713695526123,,
180,1.0526642629078455,1.3074361911186805,0.6407738152157283,0.006598098195226082
181,1.0537291254316057,1.3096400086696331,,
182,1.0393401384353638,1.3069419264793396,,
183,1.0387073414666312,1.296621221762437,,
184,1.0441516382353646,1.2991990951391368,,
185,1.0449183668409074,1.3046014859126165,,
186,1.0357826437268938,1.3011912474265466,,
187,1.0483726688793726,1.299534444625561,,
188,1.0372564111437117,1.298377160842602,,
189,1.0351752042770386,1.3052873840698829,,
190,1.03857855285917,1.2924647010289705,0.6432397251759486,0.017465554046186688
191,1.03005565064294,1.2918494022809541,,
192,1.0327006152697973,1.2877819950763996,,
193,1.0413946168763297,1.2988170798008258,,
194,1.0345898526055473,1.2852463859778185,,
195,1.0257878388677324,1.2838252691122203,,
196,1.0314602937017168,1.2840915138904865,,
197,1.0299362114497594,1.2800303147389338,,
198,1.02865389415196,1.2731097890780523,,
199,1.0260850020817347,1.2733988486803496,,
200,1.0302123767989022,1.2826656103134155,0.6481237329788861,0.03648360178536775
201,1.027400357382638,1.2710219805057232,,
202,1.0195621762956892,1.2929032353254466,,
203,1.0220231456415994,1.2809385932408845,,
204,1.0211282627923148,1.2728205277369573,,
205,1.0247069639819009,1.2771514287361732,,
206,1.0240487030574255,1.2797070008057814,,
207,1.024319359234401,1.2800266788556025,,
208,1.018062710762024,1.2756514457555919,,
209,1.014079315321786,1.2762834292191725,,
210,1.0205523797443934,1.2707621363493113,0.6510008271496328,0.03784203376673782
211,1.0141613824026925,1.2717031698960524,,
212,1.0085465567452567,1.2749734841860259,,
213,1.016888439655304,1.2739812640043406,,
214,1.0198681013924735,1.2686173090567956,,
215,1.011006431920188,1.26626279262396,,
216,1.0170607311385018,1.2772350219579844,,
217,1.013686133282525,1.2600432542654185,,
218,1.0129643678665161,1.2627862966977632,,
219,1.0136076382228307,1.2647015452384949,,
220,1.0115660216127123,1.2701362875791697,0.6512082122093024,0.055113526101300214
221,1.0114495754241943,1.2634610992211561,,
222,1.008901527949742,1.2727532707727873,,
223,1.011509690965925,1.2637343452526972,,
224,1.011872845036643,1.2637363993204558,,
225,1.0105539858341217,1.2632793050545912,,
226,1.0061165392398834,1.2614723306435804,,
227,1.0045389022145952,1.2640242622448847,,
228,1.003375917673111,1.2502917097165034,,
229,1.00546937755176,1.2578928608160753,,
230,1.0016635145459856,1.2696300607461195,0.6544863305156059,0.05375509411993014
231,1.0019708275794983,1.2536437052946825,,
232,1.0081147721835546,1.2574528318185072,,
233,1.0086470203740256,1.2670901326032786,,
234,0.9995654097625187,1.2554714450469384,,
235,0.9988455602100917,1.2486507296562195,,
236,0.9976925764765058,1.2548501262297997,,
237,1.001804530620575,1.259234267931718,,
238,1.0023830831050873,1.2626503247481127,,
239,1.0007025940077645,1.25650993677286,,
240,0.9972127633435386,1.256384170972384,0.6566803090575275,0.05142635358043858
241,1.0006328012262071,1.2546096765078032,,
242,0.9912267029285431,1.2606423497200012,,
243,0.9982127036367144,1.2508048231785114,,
244,0.9994002069745745,1.2509899414502657,,
245,0.9911442015852246,1.2445217095888579,,
246,0.9965466644082751,1.2627804279327393,,
247,0.9965024292469025,1.2511864258692815,,
248,0.9969331664698464,1.2579664542124822,,
249,0.9956210170473371,1.2526999482741723,,
250,0.9955518075398037,1.2533278465270996,0.658722484126377,0.06365224141276926
251,0.9953276770455497,1.2618023982414832,,
252,0.9937243291309902,1.2608690399390001,,
253,0.9863783461706979,1.2525272369384766,,
254,0.9932675872530256,1.2500941569988544,,
255,0.9867504111358097,1.2330926656723022,,
256,0.9939911918980735,1.2559246237461383,,
257,0.992035516670772,1.247689155431894,,
258,0.9907319928918566,1.2527947104894197,,
259,0.9868753509862083,1.2544195697857783,,
260,0.9917361651148114,1.2483751773834229,0.6592245113601591,0.057248204929167476
261,0.9939045522894178,1.2471440709554231,,
262,0.9853627809456417,1.2458914197408235,,
263,0.9887157167707171,1.2438111580335176,,
264,0.9922163018158504,1.237622788319221,,
265,0.989416377885001,1.2436648378005395,,
266,0.9831850741590772,1.2381274516765888,,
267,0.983917555638722,1.2407425733713002,,
268,0.9856653426374707,1.2426571570909941,,
269,0.9785980922835213,1.23526125229322,,
270,0.9834482414381844,1.2344685747073247,0.6619492044063647,0.06753347564525519
271,0.981292051928384,1.2380724961941059,,
272,0.9830998267446246,1.235135087600121,,
273,0.9879765382834843,1.2337044018965502,,
274,0.9875852635928563,1.2355994536326482,,
275,0.9820781563009534,1.2380250142170832,,
